#id	Date	Location	Scope	Seeing	Trans	Item	Time	Eyepiece	Mag	Notes	Sketch
20180817-02-ngc654	2018-08-17	Bellevue at home	Omni XLT 150	F	3	NGC 654/Fuzzy Butterfly Cluster	11:26	5mm	150x	Hints of more faint stars within the quadrilateral, esp. near the right point, but only have vague glimpses of them.	20180817-02-ngc654
20180817-03-doublecluster	2018-08-17	Bellevue at home	Omni XLT 150	F	3	NGC 884,869/Double Cluster	11:39	25mm	30x	Spectacular! Stars look like 2 piles of diamonds. NGC 884 (right) looks a bit like a ring, where NGC 864 like a very sparse, fullly split globular.	20180817-03-doublecluster
20180817-04-stock2	2018-08-17	Bellevue at home	Omni XLT 150	F	3	Stock 2	11:57	25mm	30x	Faint. Stars are all widely separated.	20180817-04-stock2
20180817-05-m31	2018-08-17	Bellevue at home	Omni XLT 150	F	3	M 31, M 32	12:25	25mm	30x	M31 has very bright core but seems to spread out very faintly. M32 is a small fuzzy; starlike with direct vision. M110 is not visible.	20180817-05-m31
20180827-01-jupiter	2018-08-27	Bellevue at home	Omni XLT 150	VG	 2 (dusk)	Jupiter	8:55	5mm	150x	Could easily see two bands, but not time to look very closely as it set behind some trees.	20180827-01-jupiter
20180827-02-saturn	2018-08-27	Bellevue at home	Omni XLT 150	VG	3	Saturn	9:06	5mm + 2x barlow	300x	Not too much detail. Can see big gaps between side of Saturn and the rings, and a fain dark gap on the outer part of the rings. Nice shadow on the side of the planet. Some chromatic abberation as indicated.	20180827-02-saturn
20180827-03-proclus	2018-08-27	Bellevue at home	Omni XLT 150	VG	3	Proclus (near lunar sunset)	11:41-11:51	5mm	150x	15 day moon. Inside of crater is slightly lighter than the surrounding area.	20180827-03-proclus
20180827-04-tycho	2018-08-27	Bellevue at home	Omni XLT 150	VG	3	Tycho (near midday)	11:53-12:01	5mm	150x	15 day moon. Generally, Tycho is white, but there's a brighter white ring on the inside, with slightly darker interior. Outside crater is darker, gradually lightening the farther out you go. White dot in the middle. Lunar rays are white.	20180827-04-tycho
20180827-05-byrgiusa	2018-08-27	Bellevue at home	Omni XLT 150	VG	3	Byrgius A (near midday)	12:05-12:14	5mm	150x	15 day moon. Byrgius A is bright white. Lunar rays surrounding are light gray, and surrounding area is medium gray.	20180827-05-byrgiusa
20180828-01-messier	2018-08-28	Bellevue at home	Omni XLT 150	G	1	Messier, Messier A, and rays	11:34-11:42	5mm	150x	16 day moon. Small. Craters have a faint light border on shadow side (hard to draw) and darker border on the light side.	20180828-01-messier
20180828-02-taruntius	2018-08-28	Bellevue at home	Omni XLT 150	G	1	Taruntius	11:45-11:56	5mm	150x	16 day moon. Very white walls on inside; look vertical. Tiny bump in the middle. Generally very circular, just a small break in the walls near Cameron crater.	20180828-02-taruntius
20180828-03-sinusconcordiae	2018-08-28	Bellevue at home	Omni XLT 150	G	1	Sinus Concordiae (Bay of Concord)	11:58-12:23	5mm	150x	16 day moon. Sinus Concordiae is triangular shaped, bordering the Sea of Tranquility. Most prominent points are Cauchy crater and the mountain marked by the *.	20180828-03-sinusconcordiae
20180901-01-m26	2018-09-01	Rattlesnake Lake Park	Omni XLT 150	G	7-	M 26	11:01	5mm	150x	Moderately faint, uneven poen star cluster. Amost nebulous, need better skies/aperature to resolve.	20180901-01-m26
20180901-02-m72	2018-09-01	Rattlesnake Lake Park	Omni XLT 150	G	7-	M 72	11:22	8mm	94x	Faint smudge. Core is brighter than the sides. Can't resolve any stars.	20180901-02-m72
20180901-03-m73	2018-09-01	Rattlesnake Lake Park	Omni XLT 150	G	7-	M 73	11:38	8mm	94x	With direct vision, looks like one star; with slight averted vision looks like a blur, which is why I'm pretty sure this is a Messier object. With more averted vision can see 3 stars, can't see if there are any more.	20180901-03-m73
20180901-04-m110	2018-09-01	Rattlesnake Lake Park	Omni XLT 150	G	7-	M 110	12:08	18mm	42x	See a very faint blur near M 31. Suspect it may be M 110. Very soft, looks taller than wide. Maybe slightly brighter in the core.  The large glow of M 31 is visible in the south of the view.	20180901-04-m110
20180902-01-saturn	2018-09-02	Bellevue at home	Omni XLT 150	G	1 (dusk)	Saturn	8:45	5mm	150x	Saturn looks very 3D today. Appears to have a light band. A: Titan; very bright about 4 Saturns away. B: a star; next brightest, with averted vision. C: Rhea; right at the edge of detectability.	20180902-01-saturn
20180902-02-ngc6910	2018-09-02	Bellevue at home	Omni XLT 150	G	3	NGC 6910/Inchworm Cluster	9:09	8mm	94x	Lots of stars, many different magnitudes. Very op[en, no single point of concentration.	20180902-02-ngc6910
20180902-03-ngc6940	2018-09-02	Bellevue at home	Omni XLT 150	G	3	NGC 6940/Mothra Cluster	10:04	25mm	30x	Long thin cluster. Many stars are just visible with averted vision. Area in center looks like it has hundreds of stars.	20180902-03-ngc6940
20180902-04-ngc6934	2018-09-02	Bellevue at home	Omni XLT 150	G	4	NGC 6934	10:29	5mm	150x	Small and somewhat faint globular cluster. Just a blur, with slightly brighter center	20180902-04-ngc6934
20180902-05-m15	2018-09-02	Bellevue at home	Omni XLT 150	G	4	M 15/Pegasus Cluster	10:45	5mm	150x	Fairly bright globular cluster. With averted vision texture is speckled with stars.	20180902-05-m15
20180903-01-saturn	2018-09-03	Bellevue at home	Meade Infinity 80	G	1 (dusk)	Saturn	8:51	25mm	16x	Just a bright ellipse, no real separation between planet and rings.  Though with close inspection, can just make out hints between planet and rings.  The dot nearest to Saturn is Titan.	20180903-01-saturn
20180903-02-gammadel	2018-09-03	Bellevue at home	Omni XLT 150	G	4	Gamma Del	10:03	8mm	94x	Primary looks yellow, secondary whiter. Cleanly separated	20180903-02-gammadel
20180903-03-ngc7789	2018-09-03	Bellevue at home	Omni XLT 150	G	4	NGC 7789	10:40	5mm	150x	All star very faint, but there are lots. Almost all are difficult to see with direct vision. Would call this the "Dreamcatcher Cluster". More stars concentrated in the lightly shaded area.	20180903-03-ngc7789
20180903-04-ngc7662	2018-09-03	Bellevue at home	Omni XLT 150	G	4	NGC 7662/Blue Snowball	11:30	5mm	150x	Round, white, concentrated blur. Maybe not as soft as a globular. Slightly brighter in the center.	20180903-04-ngc7662
20180903-05-ngc7243	2018-09-03	Bellevue at home	Omni XLT 150	G	4	NGC 7243	11:47	8mm	94x	Very beautiful. Lots of bright white stars. Also looks good at 25mm (30x). Almost a cluster in a cluster	20180903-05-ngc7243
20180903-06-ngc752	2018-09-03	Bellevue at home	Omni XLT 150	G	4	Golf Putter and NGC 752	12:19	25mm	30x	Golf putter star are bright pinpricks. NGC 752 is rather dim, but stars still resolvable without averted vision.	20180903-06-ngc752
20180903-07-neptune	2018-09-03	Bellevue at home	Meade Infinity 80	G	4	Neptune	1:30	25mm	16x	Faint white dot. Not color, looks like a star	20180903-07-neptune
20180905-01-epscep	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	Epsilon Cep	10:31	8mm	94x	Bright and has a yellow tint. Other stars white	20180905-01-epscep
20180905-02-ngc129	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	NGC 129	10:43	8mm	94x	Rather bare cluster; not too many stars. Looks like a crab claw grabbing for the bright star.	20180905-02-ngc129
20180905-03-ngc457	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	NGC 457/Owl Cluster	10:53	8mm	94x	Looks like an airplane, or a martini glass, or a bat. Worth looking at again. :)	20180905-03-ngc457
20180905-04-ngc663	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	NGC 663/Lawnmower Cluster	11:07	8mm	94x	Fairly open cluster, not too memorable except that it looks like it has a happy face hidden in it.	20180905-04-ngc663
20180905-05-cr463	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	Cr 463	11:29	12mm	63x	Most stars here are very faint.	20180905-05-cr463
20180905-06-m2	2018-09-05	Bellevue at home	Omni XLT 150	F	3-	M 2	11:48	5mm	150x	Fairly bright globular, could see in the finderscope. Can't resolve any stars. Appears smooth and fuzzy.	20180905-06-m2
20180906-01-deltacep	2018-09-06	Bellevue at home	Omni XLT 150	G	3	Delta Cep	10:41	8mm	94x	Primary is light yellow. Secondary is gray-blue. Nice colors!	20180906-01-deltacep
20180906-02-ngc7160	2018-09-06	Bellevue at home	Omni XLT 150	G	3	NGC 7160	10:59	8mm	94x	Open cluster with just a few stars.	20180906-02-ngc7160
20180906-03-ngc7209	2018-09-06	Bellevue at home	Omni XLT 150	G	3	NGC 7209	11:13	8mm	94x	Nice cluster. Lots of bright white stars. Slightly more concentrated in the center.	20180906-03-ngc7209
20180906-04-m30	2018-09-06	Bellevue at home	Omni XLT 150	G	3	M 30	11:55	5mm	150x	Very faint. At this magnification, see some speckling with averted vision.	20180906-04-m30
20180917-01-m75	2018-09-17	Bellevue at home	Omni XLT 150	F	3	M 75	9:43	8mm	94x	Very faint globular. See a brighter point in the middle, like a fuzzy star, then hints of other stars nearby.	20180917-01-m75
20180917-02-m30	2018-09-17	Bellevue at home	Omni XLT 150	F	3	M 30	10:12	8mm	94x	Looks pretty big, but rather dim. Can see some speckling of stars. Core is not particularly bright.	20180917-02-m30
20180917-03-zetalyr	2018-09-17	Bellevue at home	Omni XLT 150	G	3	Zeta Lyr	11:22	8mm	94x	Both bright white. Wide, easy split, could split in finder.	20180917-03-zetalyr
20180917-04-betalyr	2018-09-17	Bellevue at home	Omni XLT 150	G	3	Beta Lyr	11:29	8mm	94x	Both white. Primary is much brighter than secondary.	20180917-04-betalyr
20180917-05-ottostruve525	2018-09-17	Bellevue at home	Omni XLT 150	G	3	Otto Struve 525	11:38	8mm	94x	A: primary, light orange. B: secondary, light blue. Not as vibrant as Albireo, but still very nice. Easily split (faintly even in the finder).	20180917-05-ottostruve525
20180917-06-61cyg	2018-09-17	Bellevue at home	Omni XLT 150	G	3	61 Cyg/Piazzi's Flying Cluster	11:54	8mm	94x	Both are very nearly the same magnitude and have a light orange color. A: primary; B: secondary. I get the name - stars are in a pizza shapped circle.	20180917-06-61cyg
20180917-07-gammadel	2018-09-17	Bellevue at home	Omni XLT 150	G	3	Gamma Del	12:02	8mm	94x	Easily split here, but tight to draw. Primary is light yellow, secondary is white.	20180917-07-gammadel
20180917-08-31cyg	2018-09-17	Bellevue at home	Omni XLT 150	G	3	31 Cyg	12:15	25mm	30x	A: light orange. B: slightly lighter orange. C: white. D: white, much fainter. A = O1 Cyg = 31 Cyg, B = O2 Cyg = 32 cyg, C = 30 Cyg	20180917-08-31cyg
20180922-01-wargentin	2018-09-22	Bellevue at home	Omni XLT 150	P	2	Wargentin	10:40-10:50	5mm	150x	13 day moon. Looks like a set of three soap bubbles.	20180922-01-wargentin
20180923-01-m40	2018-09-23	Bellevue at home	Omni XLT 150	F	3	M 40 (Double star)	9:05	8mm	94x	Both stars are white, roughtly equal in magnitude. Bright star in the West is 70 UMa	20180923-01-m40
20180923-02-grimaldi	2018-09-23	Bellevue at home	Omni XLT 150	F	3	Grimaldi	9:25-9:39	5mm	150x	14 day moon (full). Grimaldi looks smooth and darker -- like a Mare. Around it are small white craterlets and rough mountains. Basin is slightly darker near the top, but has two lighter streaks on it.	20180923-02-grimaldi
20180923-03-cruger	2018-09-23	Bellevue at home	Omni XLT 150	F	3	Cruger	9:41-9:50	5mm	150x	14 day moon (full). Cruger: small, very circular. Smoother darker gray. Nearby is slightly lighter Lacus Aestatis, and a white/dar spot	20180923-03-cruger
20180923-04-struve2404	2018-09-23	Bellevue at home	Omni XLT 150	F	3	Struve 2404	10:41	5mm	150x	Stars are close but clearly separated. Very sharp. Primary looks golden and secondary is bluish. Nice!	20180923-04-struve2404
20180924-01-alphacap	2018-09-24	Bellevue at home	Omni XLT 150	G	3	Alpha Cap/Algedi	10:18	25mm	30x	A: white. B: pale yellow, has a faint double. C: pale yellow. D: white	20180924-01-alphacap
20180924-02-betacap	2018-09-24	Bellevue at home	Omni XLT 150	G	3	Beta Cap/Dabih	10:30	25mm	30x	Primary is bright orange; secondary is dimmer, gray-blue	20180924-02-betacap
20180924-03-57aql	2018-09-24	Bellevue at home	Omni XLT 150	G	3	57 Aql	10:39	25mm	30x	Both stars are white. However, A is a light orange and B is a deeper orange.	20180924-03-57aql
20180924-04-thetaser	2018-09-24	Bellevue at home	Omni XLT 150	G	3	Theta Ser/Alya	10:59	18mm	42x	Both stars are white and about equally bright. Guess that A may be the primary. Prominent "broken ring" asterism.	20180924-04-thetaser
20180924-05-tr2	2018-09-24	Bellevue at home	Omni XLT 150	G	3	Tr 2	11:29	15mm	50x	Long line of stars in this cluster, and a little bit of a hat shape.	20180924-05-tr2
20180925-01-betacep	2018-09-25	Bellevue at home	Omni XLT 150	G	3	Beta Cep/Alfirk	10:49	5mm	150x	Both stars are white. Primary is much brighter than secondary.	20180925-01-betacep
20180925-02-xicep	2018-09-25	Bellevue at home	Omni XLT 150	G	3	Xi Cep	10:57	5mm	150x	Primary is somewhat brighter than secondary. Primary is white, secondary seems brick red when defocused or using averted vision. Straight on it looks white.	20180925-02-xicep
20180925-03-struve2816	2018-09-25	Bellevue at home	Omni XLT 150	G	3	Struve 2816	11:05	5mm	150x	Nice triple. All stars are white. Secondary and tertiary are about the same magnitude.	20180925-03-struve2816
20180926-01-epsilonpeg	2018-09-26	Bellevue at home	Omni XLT 150	VG	4	Epsilon Peg/Enif	10:09	25mm	30x	Primary has a yello tint and is quite bright. Secondary is white. Also there's a distinctive arrowhead asterism in the view. :)	20180926-01-epsilonpeg
20180926-02-zetaaqr	2018-09-26	Bellevue at home	Omni XLT 150	VG	4	Zeta Aqr	10:27	5mm	150x	Both stars have approx the same magnitude. Not a perfectly clean split, but can see two distinct stars touching.	20180926-02-zetaaqr
20180926-03-8lac	2018-09-26	Bellevue at home	Omni XLT 150	VG	4	8 Lac	10:37	5mm	150x	Both white. A is slightly brighter than B.	20180926-03-8lac
20180926-04-94aqr	2018-09-26	Bellevue at home	Omni XLT 150	VG	2	94 Aqr	10:58	8mm	94x	Primay has a strong yellow tint, secondary also looks a little yellowish. Big star hop to get here from Fomalhaut, the closest visible star naked eye.	20180926-04-94aqr
20180927-01-censorinus	2018-09-27	Bellevue at home	Omni XLT 150	P	3	Censorinus	11:18-11:28	5mm	150x	18 day moon. Extremely bright white spot, small. Nearby is light gray, farther is darker gray in mare Tranquilitatis	20180927-01-censorinus
20180927-02-hercules	2018-09-27	Bellevue at home	Omni XLT 150	P	3	Hercules	11:37-11:58	5mm	150x	18 day moon. Hercules looks like a large deep crater. Hercules G is very bright and sharp inside. Hercules E is very small, mostly hidden in shadow. Can just see the general shape of it. Atlas has two mountains/peaks in the center. 	20180927-02-hercules
20180928-01-ngc6818	2018-09-28	Bellevue at home	Omni XLT 150	VG	4	NGC 6818/Little Gem	8:58	8mm	94x	Small, almost star-like, but slightly fuzzy.	20180928-01-ngc6818
20180928-02-ngc7009	2018-09-28	Bellevue at home	Omni XLT 150	VG	4	NGC 7009/Saturn Nebula	9:22	8mm	94x	Small and a little fuzzy. Center is bright, but doesn't look like a star.	20180928-02-ngc7009
20180928-03-sigmacas	2018-09-28	Bellevue at home	Omni XLT 150	VG	4	Sigma Cas	11:00	5mm	150x	Primay is white and secondary appears blue. Barely separated.	20180928-03-sigmacas
20180928-04-tr3	2018-09-28	Bellevue at home	Omni XLT 150	VG	4	Tr 3	11:18	8mm	94x	I'll call this the snail cluster. Relatively dim. Seems like some nebulosity with direct vision, but averted vision just shows stars.	20180928-04-tr3
20180928-05-stock23	2018-09-28	Bellevue at home	Omni XLT 150	VG	4	Stock 23/Pazmino's Cluster	11:35	8mm	94x	Nice rectangle in the middle with a double star inside. Quite a few bright stars.	20180928-05-stock23
20181004-01-gammaari	2018-10-04	Bellevue at home	Omni XLT 150	G	3	Gamma Ari	10:24	8mm	94x	Stars are about equal brightness, and are white. Very clean split.	20181004-01-gammaari
20181004-02-lambdaari	2018-10-04	Bellevue at home	Omni XLT 150	G	3	Lambda Ari	10:33	8mm	94x	Wide double. Primary has a faint yellow color. Secondary seems white.	20181004-02-lambdaari
20181004-03-psipsc	2018-10-04	Bellevue at home	Omni XLT 150	G	3	Psi1 Psc	10:51	25mm	30x	Rather blind movements through finderscope to get this.  Roughtly equal magnitudes, but A is the primary B the secondary. Both are white.	20181004-03-psipsc
20181004-04-65psc	2018-10-04	Bellevue at home	Omni XLT 150	G	3	65 Psc	11:15	5mm	150x	Fairly tight double, but cleanly split. Equal magnitudes, both are white.	20181004-04-65psc
20181004-05-neptune	2018-10-04	Bellevue at home	Omni XLT 150	G	3	Neptune	11:55	8mm	94x	Looks like a star. No color.  At 5mm, Neptune appears blurry, and Triton barely seen with averted vision as a pinprick.	20181004-05-neptune
20181010-01-m76	2018-10-10	Bellevue at home	Omni XLT 150	G	3	M 76/Little Dumbbell Nebula	9:54	5mm	150x	Modestly large, very very faint -- can only see with averted vision. Jigglling the scope helps. Shape is amorphous, but doesn't seem exactly circular. One are does seem to be a bit brighter.	20181010-01-m76
20181010-02-iotatri	2018-10-10	Bellevue at home	Omni XLT 150	G	3	Iota Tri/6 Tri	10:15	5mm	150x	Primay is yellow-orange. Secondary is rather dimmer and blue-white. Fairly close split.	20181010-02-iotatri
20181010-03-etaper	2018-10-10	Bellevue at home	Omni XLT 150	G	3	Eta Per	10:49	8mm	94x	Primay is bright, white-orange. Secondary is much dimmer and bluish. Could split at 30x, but seconary was so dim it was hard to distinguish from the diffraction spikes/abberations of the primary.	20181010-03-etaper
20181010-04-struve331	2018-10-10	Bellevue at home	Omni XLT 150	G	3	Struve 331	10:35	8mm	94x	Both stars are bright white. Primary is much brighter than the secondary. Easy split.	20181010-04-struve331
20181010-05-m33	2018-10-10	Bellevue at home	Omni XLT 150	G	3	M 33	11:41	16mm	47x	Extremely dim, rather large circular blur. Can only see occasionally with averted vision. Core is slightly brighter. Roughly centered in a nice rhombus of stars.	20181010-05-m33
20181010-06-zetapsc	2018-10-10	Bellevue at home	Omni XLT 150	G	3	Zeta Psc	12:18	8mm	94x	Both stars are white and the primary is only a little brighter than the secondary. Starhopping here is a pain.	20181010-06-zetapsc
20181010-07-alphapsc	2018-10-10	Bellevue at home	Omni XLT 150	G	3	Alpha Psc	12:36	5mm + 2x Barlow	300x	Not very cleanly split. Stars are white, primary very slightly brighter.	20181010-07-alphapsc
20181011-01-mars	2018-10-11	Bellevue at home	Omni XLT 150	G	3	Mars	10:15	5mm	150x	Bright, gibbous phase. In the center Mars is a bit darker/grayer. Rest is a pale orange. Terminator is slightly dimmer.	20181011-01-mars
20181011-02-etaper	2018-10-11	Bellevue at home	Omni XLT 150	G	3	Eta Per	10:30	5mm	150x	Primary is bright white-orange. Assume secondary is the next brightest star, is much dimmer and blue.	20181011-02-etaper
20181011-03-ngc1342	2018-10-11	Bellevue at home	Omni XLT 150	G	3	NGC 1342	11:02	8mm	94x	Somewhat dim, spread out open cluster. Looks like a sideways goblet.	20181011-03-ngc1342
20181012-01-mel20	2018-10-12	Bellevue at home	Meade Infinity 80	G	3	Mel 20	11:07	25mm	16x	One of my favorite binocular open clusters. Have fond memories of the first time I saw this. Glittery bright white stars, very bright.	20181012-01-mel20
20181012-02-delphiniusminor	2018-10-12	Bellevue at home	Meade Infinity 80	G	3	Delphinius Minor	11:26	25mm	16x	A mini version of Delphinius the dolphin!	20181012-02-delphiniusminor
20181012-03-kemblescascade	2018-10-12	Bellevue at home	Meade Infinity 80	G	3	Kemble's Cascade	11:42	25mm	16x	Long strand of stars all in a straight line. Can see more here than with binoculars since the view is steady.	20181012-03-kemblescascade
20181013-01-m74	2018-10-13	Rattlesnake Lake Park	Omni XLT 150	F	7	M 74/Phantom Galaxy	10:40	16mm	47x	A faint blur, easiest seen with averted vision. Center is brighter, and fades off to a fairly large area.	20181013-01-m74
20181013-02-m77	2018-10-13	Rattlesnake Lake Park	Omni XLT 150	F	7	M 77	11:01	5mm	150x	Looks like a fuzzy star. Fairly circular.	20181013-02-m77
20181013-03-m33	2018-10-13	Rattlesnake Lake Park	Omni XLT 150	F	7	M 33	11:20	18mm	42x	Large faint disc, slightly brighter in the middle. Circular. Not so hard to see tonight.	20181013-03-m33
20181013-04-m1	2018-10-13	Rattlesnake Lake Park	Omni XLT 150	F	7	M 1/Crab Nebula	11:44	8mm	94x	Somewhat irregular shape, roughly evenly bright, though a little fainter near the edge.	20181013-04-m1
20181015-01-homeplate	2018-10-15	Bellevue at home	Meade Infinity 80	G	3-	Home Plate	10:15	25mm	16x	Very recognizable as a baseball home plate. Two stars are really doubles.	20181015-01-homeplate
20181015-02-luckyseven	2018-10-15	Bellevue at home	Meade Infinity 80	G	3-	Lucky Seven	10:38	25mm	16x	Right at zenith, so very uncomfortable to find. Had to kneel on my toes.  Nice 7 shape. Almost seems like a wide open cluster.	20181015-02-luckyseven
20181015-03-m45	2018-10-15	Bellevue at home	Meade Infinity 80	G	3-	M 45/Pleiades	10:50	25mm	16x	Very bright. Stars are all white. Lots of little chains of stars.	20181015-03-m45
20181015-04-hyades	2018-10-15	Bellevue at home	Meade Infinity 80	G	3-	Hyades	12:09	25mm	16x	Very open and bright. Aldeberan is bright orange. Need lower magnification to get the whole cluster.	20181015-04-hyades
20181015-05-orionssword	2018-10-15	Bellevue at home	Meade Infinity 80	G	3-	Orion's Sword	12:25	25mm	16x	Stars are all colorful and twinkly. Can see a little nebulosity at M42. Nice view	20181015-05-orionssword
20181016-01-moon	2018-10-16	Bellevue at home	Meade Infinity 80	G	3	First Quarter Moon	9:23-9:54	25mm	16x	Lots of very sharp detail at the terminator. Can make out tons of craters, seas, and lunar rays. Dark side is slightly lighter than the sky.	20181016-01-moon
20181017-01-rupesrecta	2018-10-17	Bellevue at home	Omni XLT 150	F	3	Rupes Recta	10:13-10:29	5mm	150x	Rupes Recta (straight wall) is a very prominent vertical line, fairly straight and dark. Thebit has a very dark edge on one side, light on the other. Looks deep. Thebit A looks deep but smaller (bowl-shaped?) Thebit L is very small - just a dot.	20181017-01-rupesrecta
20181017-02-delaunay	2018-10-17	Bellevue at home	Omni XLT 150	F	3	Delaunay	10:33-10:48	5mm	150x	Delaunay looks like it's cloven in two with a hill/mountain across the middle. Top half is dark gray to gray, and the bottom is gray to light gray.	20181017-02-delaunay
20181017-03-1cam	2018-10-17	Bellevue at home	Omni XLT 150	F	3	1 Cam	11:12	8mm	94x	Primary and seconary are both white, and have similar magnitudes, though the primary is slightly brighter.	20181017-03-1cam
20181017-04-uranus	2018-10-17	Bellevue at home	Omni XLT 150	F	3	Uranus	11:33	5mm	150x	Gray, slightly bluish, can see a tiny disc. Suspect a moon on the South side, a dot that pops into view occasionally.	20181017-04-uranus
20181018-01-moongammacap	2018-10-18	Bellevue at home	Omni XLT 150	F-P	1	Occulation of Gamma Cep by the Moon	9:35-10:55	25mm	30x	Bright haze all around the moon, can't see the dark side.  At 9:38:43, the star just blinks out, instantly gone.  First detected reappearance at 10:33:14. Couldn't detect that Gamma Cap emerged for probably 20-25 secons from the predicted time since the moon and clouds were so bright. The star was relatively small and dim. Still very cool to see, and the star "moved away" from the moon surprisingly fast.	20181018-01-moongammacap
20181019-01-clavius	2018-10-19	Bellevue at home	Omni XLT 150	F	3	Clavius	9:53-10:24	5mm	150x	Clavius has a smooth looking interior, with nice chains of craters inside.	20181019-01-clavius
20181019-02-bullialdus	2018-10-19	Bellevue at home	Omni XLT 150	F	3	Bullialdus	10:35-10:48	5mm	150x	Bullialdus has a peak in the middle, and walls look like double coincentric rings. Bright white thin ring around the top. A: looks fairly flat. B: looks bowl-shaped.	20181019-02-bullialdus
20181111-01-chitau	2018-11-11	Bellevue at home	Omni XLT 150	P	3	Chi Tau	10:43	8mm	94x	Primary is bright white. Secondary is much dimmer, also white. Primary is a little fuzzy; bad seeing or collimation is off.	20181111-01-chitau
20181111-02-ngc1647	2018-11-11	Bellevue at home	Omni XLT 150	P	3	NGC 1647	10:54	25mm	30x	Somewhat dim cluster, rather round. Slight concentration at the center. Nice double in the middle, circled.	20181111-02-ngc1647
20181111-03-m1	2018-11-11	Bellevue at home	Omni XLT 150	P	3	M 1	11:19	8mm	94x	Quite faint. Slightly brighter in the center. Circular? Can't determine shape for sure.	20181111-03-m1
20181111-04-ngc1807	2018-11-11	Bellevue at home	Omni XLT 150	P	3	NGC 1807, NGC 1817	11:34	18mm	42x	Mini double cluster! Both very open, no areas of concentration. 1807 is larger, on the left.	20181111-04-ngc1807
20181111-05-32eri	2018-11-11	Bellevue at home	Omni XLT 150	P	3	32 Eri	12:02	5mm	150x	Primary is golden, secondary is blue. Fairly strong color contrast. Nice pair.	20181111-05-32eri
20181117-01-hyades	2018-11-17	Bellevue at home	9x50 Finderscope	F-P	3-	Hyades	10:16		9x	Nice bright, wide cluster. Aldeberan is yellow-orange. Nice tight hexagon of stars at the bottom.	20181117-01-hyades
20181117-02-118tau	2018-11-17	Bellevue at home	Omni XLT 150	F-P	3-	118 Tau	10:37	5mm	150x	Both stars are white. Given the seeing, these go from clearly separated to a single oval blob.	20181117-02-118tau
20181118-01-lambdaori	2018-11-18	Bellevue at home	Meade Infinity 80	VG	3	Lambda Ori	9:44	25mm	16x	Main feature is a nice right triangle, with a trail of three stars on one edge.	20181118-01-lambdaori
20181118-02-gammacet	2018-11-18	Bellevue at home	Omni XLT 150	VG	3	Gamma Cet	10:05	5mm + 2x barlow	300x	Can see the secondary as a tiny stationary dot of the diffraction rings of the primary. No particular color; white. Can see two 75% complete rings most of the time, with spikes of rings moving around.	20181118-02-gammacet
20181118-03-lambdaori	2018-11-18	Bellevue at home	Omni XLT 150	VG	3	Lambda Ori	10:26	5mm	160x	Primary, secondary both white. Close, but cleanly split. Primary maybe 1 mag brighter?	20181118-03-lambdaori
20181118-04-lambdaori	2018-11-18	Bellevue at home	Omni XLT 150	VG	3	Lambda Ori	10:42	25mm	30x	Just for fun. Star are bright pinpoints. Very beautiful.	20181118-04-lambdaori
20181118-05-m42trap	2018-11-18	Bellevue at home	Omni XLT 150	VG	3	M 42, Trapezium/Theta1 Ori, Theta2 Ori	10:43	5mm + 2x barlow	300x	Nebula is surprisingly bright and detailed given the moon. Trapezium stars have tiny diffraction rings; can't see any other components (E/F). A treat, but a pain to sketch. Theta2 - both white, similarly bright, though star on the left is the primary.	20181118-05-m42trap
20181118-06-struve747iotaori	2018-11-18	Bellevue at home	Omni XLT 150	VG	3	Struve 747, Iota Ori	11:17	8mm	94x	A,B are Struve 747. A is slightly brighter. Both white. C is iota-Ori, can see much dimmer secondary. All white.  Nice open cluster!	20181118-06-struve747iotaori
20181119-01-mersenius	2018-11-19	Bellevue at home	Omni XLT 150	VG	2	Mersenius	9:42-9:57	5mm	150x	Deep crater with a flat bottom. Lighter (rougher) area at the S part.	20181119-01-mersenius
20181119-02-aristarchusplateau	2018-11-19	Bellevue at home	Omni XLT 150	VG	2	Aristarchus Plateau	10:05-10:45	5mm	150x	Nice area! Heroditus is a very cool teardrop shape, with what looks like a river flowing out.	20181119-02-aristarchusplateau
20181119-03-schickard	2018-11-19	Bellevue at home	Omni XLT 150	VG	2	Schickard	10:44-11:14	5mm	150x	Very star, strong shadows. bottom seemed fairly smooth, but walls are very rough.	20181119-03-schickard
